0,
_Summary,Overall
__Boston,Boston
__New_York,New York
__Philadelphia,Philadelphia
__Cleveland,Cleveland
__Richmond,Richmond
__Atlanta,Atlanta
__Chicago,Chicago
__St_Louis,St Louis
__Minneapolis,Minneapolis
__Kansas_City,Kansas
__San_Francisco,San Fransicsco
__Dallas,Dallas
_Boston,Boston
_New_York,New York
_Philadelphia,Philadelphia
_Cleveland,Cleveland
_Richmond,Richmond
_Atlanta,Atlanta
_Chicago,Chicago
_St_Louis,St Louis
_Minneapolis,Minneapolis
_Kansas_City,Kansas
_Dallas,Dallas
_San_Francisco,San Fransicsco
Summary,Overall
Boston,Boston
New York,New York
Philadelphia,Philadelphia
Cleveland,Cleveland
Richmond,Richmond
Atlanta,Atlanta
Chicago,Chicago
St Louis,St Louis
Minneapolis,Minneapolis
Kansas City,Kansas
Dallas,Dallas
San Francisco,San Fransicsco